7,2018-11-26,344
5,2018-02-24,333
9,2018-03-21,308
8,2018-01-30,203
1,2018-05-14,175
10,2018-09-09,96
7,2018-09-29,68
6,2018-02-07,40
10,2018-11-21,340
6,2018-01-12,365
4,2018-03-02,390
5,2018-09-06,211
8,2018-03-27,119
9,2018-10-25,111
1,2018-06-24,229
4,2018-10-02,314
4,2018-03-17,210
10,2018-03-05,178
8,2018-01-21,1
6,2018-06-17,134
9,2018-10-09,347
1,2018-09-23,35
1,2018-07-04,321
4,2018-09-15,311
10,2018-07-09,14
4,2018-02-19,312
5,2018-08-08,107
1,2018-11-06,179
8,2018-06-04,117
1,2018-02-04,18
4,2018-10-01,49
6,2018-02-28,621
10,2018-10-29,237
4,2018-06-07,1
6,2018-05-16,100
7,2018-08-10,431
3,2018-02-12,261
6,2018-09-26,24
10,2018-09-10,213
1,2018-01-05,391
6,2018-04-21,113
9,2018-03-29,93
6,2018-09-16,267
6,2018-03-03,193
7,2018-03-23,332
1,2018-03-01,195
4,2018-01-04,245
3,2018-10-21,248
7,2018-09-12,261
7,2018-04-30,251
1,2018-08-31,97
3,2018-01-31,328
5,2018-09-03,256
8,2018-05-18,39
1,2018-07-07,22
3,2018-06-18,331
3,2018-07-18,262
5,2018-12-01,127
10,2018-01-20,258
1,2018-07-23,128
4,2018-04-12,277
6,2018-08-20,417
8,2018-02-21,15
2,2018-10-29,385
2,2018-04-08,162
5,2018-05-08,510
6,2018-02-13,274
8,2018-08-11,288
4,2018-08-05,393
9,2018-04-07,197
7,2018-05-22,302
1,2018-09-22,381
3,2018-03-19,233
9,2018-07-21,336
5,2018-09-23,61
10,2018-09-24,385
1,2018-05-29,59
3,2018-03-20,320
5,2018-09-30,345
9,2018-11-07,130
2,2018-09-05,124
3,2018-08-19,327
3,2018-05-04,81
7,2018-12-05,153
9,2018-02-10,321
2,2018-09-09,111
3,2018-02-05,53
9,2018-06-21,38
1,2018-07-03,54
7,2018-10-10,22
9,2018-12-21,273
3,2018-06-23,84
4,2018-05-29,50
5,2018-02-01,367
8,2018-07-12,229
6,2018-07-29,117
2,2018-11-25,239
8,2018-05-12,38
6,2018-04-24,80
8,2018-07-20,340
8,2018-01-19,409
1,2018-04-12,91
7,2018-01-31,256
4,2018-07-23,332
8,2018-10-20,7
5,2018-08-06,153
5,2018-11-13,276
7,2018-07-18,162
5,2018-06-07,396
6,2018-11-16,355
4,2018-08-23,500
4,2018-03-12,275
5,2018-03-04,118
4,2018-07-08,20
10,2018-09-11,59
6,2018-06-10,170
3,2018-04-02,21
6,2018-05-06,238
3,2018-04-11,11
1,2018-10-06,280
5,2018-12-17,40
1,2018-02-14,15
6,2018-12-18,149
9,2018-04-26,174
2,2018-06-25,278
10,2018-07-06,164
1,2018-10-04,33
8,2018-11-06,249
